company_keyword,linkedin_url
FinTech B2B platform,https://www.linkedin.com/company/example-fintech-b2b-platform-58
Real Estate AI,https://www.linkedin.com/company/example-real-estate-ai-59
PropTech,https://www.linkedin.com/company/example-proptech-60
Cybersecurity SaaS,https://www.linkedin.com/company/example-cybersecurity-saas-61
Marketing Automation,https://www.linkedin.com/company/example-marketing-automation-62
Retail Analytics,https://www.linkedin.com/company/example-retail-analytics-63
Logistics Tech,https://www.linkedin.com/company/example-logistics-tech-64
Travel SaaS,https://www.linkedin.com/company/example-travel-saas-65
Healthcare SaaS,https://www.linkedin.com/company/example-healthcare-saas-66
Retail Analytics,https://www.linkedin.com/company/example-retail-analytics-67
HR Tech,https://www.linkedin.com/company/example-hr-tech-68
AgriTech,https://www.linkedin.com/company/example-agritech-69
Cybersecurity SaaS,https://www.linkedin.com/company/example-cybersecurity-saas-70
Legal Tech,https://www.linkedin.com/company/example-legal-tech-71
Insurance Tech,https://www.linkedin.com/company/example-insurance-tech-72
Construction SaaS,https://www.linkedin.com/company/example-construction-saas-73
Healthcare SaaS,https://www.linkedin.com/company/example-healthcare-saas-74
Cybersecurity SaaS,https://www.linkedin.com/company/example-cybersecurity-saas-75
Construction SaaS,https://www.linkedin.com/company/example-construction-saas-76
FinTech B2B platform,https://www.linkedin.com/company/example-fintech-b2b-platform-77
HR Tech,https://www.linkedin.com/company/example-hr-tech-78
Insurance Tech,https://www.linkedin.com/company/example-insurance-tech-79
Retail Analytics,https://www.linkedin.com/company/example-retail-analytics-80
AgriTech,https://www.linkedin.com/company/example-agritech-81
Travel SaaS,https://www.linkedin.com/company/example-travel-saas-82
Retail Analytics,https://www.linkedin.com/company/example-retail-analytics-83
Insurance Tech,https://www.linkedin.com/company/example-insurance-tech-84
FinTech B2B platform,https://www.linkedin.com/company/example-fintech-b2b-platform-85
HR Tech,https://www.linkedin.com/company/example-hr-tech-86
AI SaaS,https://www.linkedin.com/company/example-ai-saas-87
Insurance Tech,https://www.linkedin.com/company/example-insurance-tech-88
PropTech,https://www.linkedin.com/company/example-proptech-89
HR Tech,https://www.linkedin.com/company/example-hr-tech-90
FinTech B2B platform,https://www.linkedin.com/company/example-fintech-b2b-platform-91
AgriTech,https://www.linkedin.com/company/example-agritech-92
Real Estate AI,https://www.linkedin.com/company/example-real-estate-ai-93
Real Estate AI,https://www.linkedin.com/company/example-real-estate-ai-94
Healthcare SaaS,https://www.linkedin.com/company/example-healthcare-saas-95
AgriTech,https://www.linkedin.com/company/example-agritech-96
Logistics Tech,https://www.linkedin.com/company/example-logistics-tech-97
Media Tech,https://www.linkedin.com/company/example-media-tech-98
Legal Tech,https://www.linkedin.com/company/example-legal-tech-99
GreenTech,https://www.linkedin.com/company/example-greentech-100
